android.net.wifi.WifiManager.getScanResults(),wifi access points
android.net.wifi.WifiInfo.getBSSID(),wifi basic service set identifier
android.net.wifi.WifiInfo.getBSSID(),wifi bssid
android.net.wifi.WifiManager.getConnectionInfo(),"wifi connections, bssid, frequency, ssid, ip address, link speed, mac address, network id, rssi, detailed connection state"
android.net.wifi.WifiManager.getWifiState(),wifi enabled state
android.net.wifi.WifiInfo.getLinkSpeed(),wifi link speed
android.net.wifi.WifiInfo.getNetworkId(),wifi network id
android.net.wifi.WifiManager.getConfiguredNetworks(),wifi networks
android.net.wifi.WifiInfo.getRssi(),wifi received signal strength indicator
android.net.wifi.WifiInfo.getSSID(),wifi service set identifier
